Feature,Importance
num__T_OR_Max1,0.3474531475854349
num__T_Max1,0.28042632235396153
num__T_OR1,0.12724510928034327
num__T_FH_Max1,0.03081387733750864
num__T_RC_Wet1,0.023139490420120756
num__T_RC_Dry1,0.022981040296361138
num__T_FHRC1,0.015879049485190734
num__T_offset1,0.014802279199834454
num__T_atm,0.011968136497934804
num__RCC1,0.01133250312901198
num__T_FHBC1,0.008947789228637313
num__aveAllL13_1,0.008563333309240442
num__Humidity,0.00781811336365175
num__T_FHTC1,0.007735936026565552
num__T_RC1,0.00723581736031789
num__Distance,0.005806233659897143
num__Max1R13_1,0.00564479896793871
num__T_FHCC1,0.00540393517597667
num__aveAllR13_1,0.005382143192506865
cat__Ethnicity_Black or African-American,0.005316436565186729
num__canthi4Max1,0.005065047537171281
num__Max1L13_1,0.005003827357613603
cat__Ethnicity_White,0.004923472854547471
num__T_RC_Max1,0.004548679308633746
num__T_LC_Dry1,0.004154317694835382
num__T_FHLC1,0.0037186269801470304
num__T_LC_Max1,0.0036389142784795307
num__T_LC_Wet1,0.0026650361036029586
num__T_FHC_Max1,0.0026086385533007996
cat__Ethnicity_American Indian or Alaskan Native,0.0018474509806720091
num__LCC1,0.0017402813311892054
num__canthiMax1,0.0014209078699778503
num__T_LC1,0.0013407853827706033
cat__Ethnicity_Multiracial,0.0012675083697421211
cat__Age_21-25,0.001252473956632021
cat__Age_18-20,0.0004088853239869637
cat__Gender_Male,0.0002354313612788144
cat__Age_31-40,0.00016650888817946322
cat__Gender_Female,9.511827069465574e-05
cat__Age_21-30,2.5951609232469456e-06
cat__Age_41-50,0.0
cat__Age_26-30,0.0
cat__Ethnicity_Asian,0.0
cat__Age_>60,0.0
cat__Age_51-60,0.0
cat__Ethnicity_Hispanic/Latino,0.0
